trip_id,headway_secs
078-MA-445.0E-0923-20181117-Weekday-06,3600
041-RL-446.0N-0633-20181117-Weekday-06,3600
006-S1-420.0E-0743-20181117-Weekday-06,2160
006-S1-420.0E-0943-20181117-Weekday-06,3600
317-S1-442.1E-1417-20181117-Weekday-06,3600
062-S1-421.0E-0833-20181117-Weekday-06,10800
056-RA-446.0N-1003-20181117-Weekday-06,3600
006-S1-420.4W-0825-20181117-Weekday-06,2160
012-MA-445.0E-0723-20181117-Weekday-06,2700
053-RL-436.0S-0748-20181117-Weekday-06,3600
056-RA-446.0S-0909-20181117-Weekday-06,3600
029-RL-444.1S-0706-20181117-Weekday-06,1800
078-MA-440.0N-0831-20181117-Weekday-06,2160
305-MA-440.0N-1231-20181117-Weekday-06,5400
062-S1-421.0W-0803-20181117-Weekday-06,10800
062-S1-421.0W-0903-20181117-Weekday-06,5400
005-S1-442.1E-0817-20181117-Weekday-06,3600
055-RD-446.2S-0634-20181117-Weekday-06,1800
090-RD-475.3S-0804-20181117-Weekday-06,10800
951--411.0S-0838-20181117-Weekday-06,10800
951--411.0S-0938-20181117-Weekday-06,4320
201-B-903.0S-0818-20181117-Weekday-06,1200
213-B-903.0S-1358-20181117-Weekday-06,1200
202-B-903.0N-0602-20181117-Weekday-06,1200
202-B-903.0N-0912-20181117-Weekday-06,1200
251-S2-497.2W-0640-20181117-Weekday-06,3600
250-S2-497.2W-0940-20181117-Weekday-06,3600
250-S2-499.1E-0640-20181117-Weekday-06,3600
251-S2-499.0E-0940-20181117-Weekday-06,3600
120-RL-495.1E-0616-20181117-Weekday-06,3600
119-RL-495.0E-0936-20181117-Weekday-06,3600
