route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,agency_raw_name
438-59,1,438,Cliff Lake Flex,Local Weekday-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=438,008641,FFFFFF,MV2019
440-58,1,440,Apple Valley-Cedar Grove-VA Hospital,Local Weekday-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=440,89564F,FFFFFF,MV2019
440-59,1,440,Apple Valley-Cedar Grove-VA Hospital,Local Weekday-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=440,89564F,FFFFFF,MV2019
442-58,1,442,Burnsville Center-Apple Valley,Local Weekday-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=442,71BF44,FFFFFF,MV2019
442-59,1,442,Burnsville Center-Apple Valley,Local Weekday-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=442,71BF44,FFFFFF,MV2019
444-58,1,444,Savage-Burnsville-Mall of America,Local Weekday-Saturday-Sunday,3,http://www.mvta.com/bus_route_information_2.html?routeId=444,89564F,FFFFFF,MV2019
444-59,1,444,Savage-Burnsville-Mall of America,Local Weekday-Saturday-Sunday,3,http://www.mvta.com/bus_route_information_2.html?routeId=444,89564F,FFFFFF,MV2019
445-58,1,445,Eagan-Cedar Grove,Local Weekday-Saturday-Sunday,3,http://www.mvta.com/bus_route_information_2.html?routeId=445,71BF44,FFFFFF,MV2019
445-59,1,445,Eagan-Cedar Grove,Local Weekday-Saturday-Sunday,3,http://www.mvta.com/bus_route_information_2.html?routeId=445,71BF44,FFFFFF,MV2019
446-58,1,446,Eagan-46th Street LRT,Local Weekday-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=446,6C723F,FFFFFF,MV2019
446-59,1,446,Eagan-46th Street LRT,Local Weekday-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=446,6C723F,FFFFFF,MV2019
460-58,1,460,Burnsville-Minneapolis,Express Peak-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=460,92278F,FFFFFF,MV2019
460-59,1,460,Burnsville-Minneapolis,Express Peak-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=460,92278F,FFFFFF,MV2019
464-58,1,464,Savage-Burnsville-Minneapolis,Express Peak-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=464,EC008C,FFFFFF,MV2019
464-59,1,464,Savage-Burnsville-Minneapolis,Express Peak-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=464,EC008C,FFFFFF,MV2019
465-58,1,465,Burnsville-Minneapolis-U of M,Express Weekday-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=465,ED2028,FFFFFF,MV2019
465-59,1,465,Burnsville-Minneapolis-U of M,Express Weekday-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=465,ED2028,FFFFFF,MV2019
470-58,1,470,Eagan-Minneapolis,Express Peak-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=470,92278F,FFFFFF,MV2019
